parquet,id,format,n_features,n_rows,n_cities,n_excluded,excluded_cities,best_auc,best_feature,n_auc_gt_055,question
fusion_composite_cohdrop,F7,wide,499,51293,11,9,"Borodyanka,Chernihiv,Chornobaivka,Kharkiv,Kherson,Kramatorsk,Makariv,Rubizhne,Trostianets",0.6749,s2__composite__ndvi__post_winter_baseline__min,255,Q2: Composite + COH drop
composite_prepost_bands,A9,wide,450,62043,19,0,,0.6729,s2__composite__ndvi__post_winter_baseline__p10,243,Q3: Do composites work? (Dietrich baseline)
fusion_composite_blockstats,F8,wide,3090,62043,19,2,"Borodyanka,Mykolaiv",0.6729,s2__composite__ndvi__post_winter_baseline__p10,345,Q6: Dietrich composite + block replication
rolling_accum_ms,A25,long,360,670119,19,0,,0.636,s2__b12__roll13__max_abs_delta__p10,61,Q4b: Rolling-window matched-filter signal (MS)?
fusion_indices_card_cohdrop,F6,long,137,1269080,11,10,"Borodyanka,Chernihiv,Chornobaivka,Kharkiv,Kherson,Kramatorsk,Makariv,Mykolaiv,Rubizhne,Trostianets",0.6286,s2__ndvi__p10,43,Q2: Indices + CARD + COH drop
scene_indices,A5,long,72,794205,19,0,,0.6259,s2__ndvi__p10,36,Q1: Do spectral indices outperform raw bands?
fusion_indices_card,F5,long,88,1592501,19,2,"Borodyanka,Mykolaiv",0.6259,s2__ndvi__p10,36,Q2: Indices + CARD
fusion_ms_cohdrop,F4,long,145,569716,11,9,"Borodyanka,Chernihiv,Chornobaivka,Kharkiv,Kherson,Kramatorsk,Makariv,Rubizhne,Trostianets",0.6131,s2__b02__p90,39,Q2: Optical + COH drop
fusion_ms_card_cohdrop,F2,long,161,1195249,11,10,"Borodyanka,Chernihiv,Chornobaivka,Kharkiv,Kherson,Kramatorsk,Makariv,Mykolaiv,Rubizhne,Trostianets",0.6131,s2__b02__p90,41,Q2: Full multimodal
lu_change,A22,wide,50,62043,19,0,,0.6088,s2__lu__loss_fraction__min,14,Q: Does persistent urban-to-other landuse loss carry signal?
composite_vs_scenes_landuse,A12,long,3,356046,18,0,,0.6066,pre_landuse,2,Q5: Per-scene landuse trajectory?
scene_ms,A1,long,96,695385,19,0,,0.6063,s2__b02__p90,36,Q1: Does optical carry per-scene damage signal?
fusion_ms_card,F1,long,112,1493681,19,2,"Borodyanka,Mykolaiv",0.6063,s2__b02__p90,36,Q2: Does MS+CARD beat either alone?
block_stats,A15,wide,2640,63243,21,0,,0.5971,s1__vh__blk02__mean__std,89,Q6: Does Dietrich block approach work with GroupKFold?
composite_prepost_landuse,A10,wide,4,62043,19,0,,0.596,landuse__post_winter_baseline,3,Q5: Does composite landuse change help?
rolling_accum_card,A24,long,144,707648,21,0,,0.5959,s1__vh__roll13__running_max__std,26,Q4b: Rolling-window matched-filter signal (CARD)?
rolling_card,A8,long,48,711255,21,0,,0.5891,s1__vh__roll13__std,14,Q4: Do rolling windows add value (CARD)?
scene_landuse,A4,long,1,794205,19,0,,0.5709,s2__landuse,1,Q5: Does landuse context help?
block_accum_coh,A26,wide,144,60076,17,0,,0.5629,s1__coh_vv__blk02__max_abs_delta__p10,14,Q6b: Block-scope matched-filter signal (COH)?
scene_nbr,A6,long,8,794205,19,0,,0.5624,s2__nbr__min,4,Q1: Does NBR carry signal?
rolling_stats_roll3,A16,wide,304,63243,21,0,,0.5593,s1__vh__baseline__max__max_abs_delta,8,Q4: Rolling stats (window=3)
rolling_stats_roll7,A17,wide,304,63243,21,0,,0.5593,s1__vh__baseline__max__max_abs_delta,8,Q4: Rolling stats (window=7)
rolling_stats_roll13,A18,wide,176,63243,21,0,,0.5593,s1__vh__baseline__max__max_abs_delta,8,Q4: Rolling stats (window=13)
fusion_card_cohdrop,F3,long,65,658108,12,9,"Chernihiv,Chornobaivka,Kharkiv,Kherson,Kramatorsk,Makariv,Mykolaiv,Rubizhne,Trostianets",0.5549,s1__vh__max,2,Q2: SAR-only multimodal
scene_card,A2,long,16,834134,21,0,,0.5491,s1__vh__max,0,Q1: Does CARD carry per-scene damage signal?
rolling_coh,A7,long,24,350960,16,0,,0.5472,s1__coh_vv__roll13__p50,0,Q4: Do rolling windows add value (COH)?
rolling_accum_coh,A23,long,72,350960,16,0,,0.5433,s1__coh_vv__roll13__running_max__max,0,Q4b: Rolling-window matched-filter signal (COH)?
prepost_single_card,A13,wide,48,63243,21,0,,0.5427,pre_vh__max_abs_delta,0,Q3: Single-scene CARD pre/post
block_accum_card,A27,wide,680,63243,21,0,,0.5384,s1__vh__blk03__max_abs_delta__min,0,Q6b: Block-scope matched-filter signal (CARD)?
scene_coh,A3,long,24,468995,18,0,,0.5327,s1__coh_vh__max,0,Q1: Does COH carry per-scene damage signal?
coh_drop,A14,wide,49,51800,12,0,,0.5284,s1__coh__scenes_observed__p50,0,Q1: Does cumulative COH drop carry signal?
block_accum_ms,A28,wide,3528,62043,19,0,,0.5256,s2__nbr__blk_pre02__running_min__std,0,Q6b: Block-scope matched-filter signal (MS)?
ms_maha,A21,wide,41,39428,18,0,,0.5234,s2__mahalanobis_running_max__min,0,Q: Does multi-band MS Mahalanobis distance carry signal?
card_drop,A19,wide,49,62043,19,0,,0.5173,s1__vv__drop_count__p50,0,Q: Does cumulative CARD z-score drop carry signal?
ms_change,A20,wide,65,39428,18,0,,0.5028,s2__swir_baseline_mean__std,0,Q: Does cumulative MS SWIR brightness + NBR anomaly carry signal?
